,Loc Name,Loc,Loc Purp Desc,Loc/QTI,All Qty Avail,DC,OPC,Nominated FirmQuantity,Nominated InterruptibleQuantity,Scheduled Firm Quantity,Scheduled InterruptibleQuantity,TSQ,OAC*,Flow Ind,IT,Comments,Qty Reason
0,ALTAMONT DELIVERY,845,Delivery Location,DPQ,Y,0,0,0,0,0,0,0,0,D,N,-,-
1,ALTAMONT MM,145,Receipt Location,RPQ,Y,76500,75000,64908,0,64533,0,64533,10467,R,N,-,-
2,AMOCO 4 MI SHP MS 52,13,Receipt Location,RPQ,Y,9100,8600,1,0,1,0,1,8599,R,N,-,-
3,BEAR CREEK TAP,385,Receipt Location,RPQ,Y,4700,4080,0,0,0,0,0,4080,R,N,Deactivated**,-
4,BELLE BUTTE STORAGE INJECTION,820,Delivery Location,DPQ,Y,86000,86000,0,0,0,0,0,86000,D,N,-,-
5,BELLE BUTTE STORAGE INJECTION VIA DEOP,425,Delivery Location,DPQ,Y,0,0,2276,0,2276,0,2276,-2276,D,N,Off-System QOPC***,-
6,BELLE BUTTE STORAGE WITHDRAWAL,420,Receipt Location,RPQ,Y,86000,86000,0,0,0,0,0,86000,R,N,-,-
7,BLACK MOUNTAIN TAP,7,Receipt Location,RPQ,Y,4400,4000,0,0,0,0,0,4000,R,N,Deactivated**,-
8,BLACKS FORK OUT/QPC,247,Receipt Location,RPQ,Y,91000,86000,49960,0,49890,0,49890,36110,R,N,-,-
9,BLUE FOREST TAP,67,Receipt Location,RPQ,Y,78000,78000,13830,0,13830,0,13830,64170,R,N,-,-
10,BLUE GRAVEL M&R,6,Receipt Location,RPQ,Y,9400,8900,119,0,119,0,119,8781,R,N,-,-
11,BLUEBELL PLT (DEL),415,Delivery Location,DPQ,Y,4490,4490,0,0,0,0,0,4490,D,N,-,-
12,BLUEBELL RECEIPT,815,Receipt Location,RPQ,Y,15300,15000,6771,2021,6761,0,6761,8239,R,N,-,-
13,BRIDGELAND REC,453,Receipt Location,RPQ,Y,60000,58750,0,0,0,0,0,58750,R,N,-,-
14,BRUNDAGE MTN TAP,144,Receipt Location,RPQ,Y,70000,64000,13715,0,13715,0,13715,50285,R,N,-,-
15,BUCCANEER LTL INTRCT,365,Receipt Location,RPQ,Y,2350,2350,0,0,0,0,0,2350,R,N,-,-
16,BULL MOUNTAIN,99,Receipt Location,RPQ,Y,25000,25000,7548,0,7548,0,7548,17452,R,N,-,-
17,BULLDOG M.S.,423,Receipt Location,RPQ,Y,18000,18000,500,0,500,0,500,17500,R,N,-,-
18,CANYON CR SHALLOW,51,Receipt Location,RPQ,Y,15000,14000,0,0,0,0,0,14000,R,N,-,-
19,CARTER CR FUEL GAS,193,Delivery Location,DPQ,Y,35900,28720,0,0,0,0,0,28720,D,N,-,-
20,CHALK CR STORAGE WD,97,Withdrawal Point,SWQ,Y,55400,52100,0,0,0,0,0,52100,SW,N,-,-
21,CHALK CR. RESERVOIR,186,Storage Area,STQ,N,-,-,0,0,0,0,0,-,-,N,-,DC and OPC lost to data error.
22,CHAMP SHELL CREEK 2,39,Receipt Location,RPQ,Y,19700,18700,0,0,0,0,0,18700,R,N,Deactivated**,-
23,CHANDLER MM #149,3,Receipt Location,RPQ,Y,9300,8700,262,0,262,0,262,8438,R,N,-,-
24,CHICKEN CREEK MM,91,Receipt Location,RPQ,Y,0,0,0,0,0,0,0,0,R,N,Deactivated**,-
25,CHIPETA PROCESSING (DEL),821,Delivery Location,DPQ,Y,220000,220000,40873,10000,40784,0,40784,179216,D,N,-,-
26,CHIPETA PROCESSING (REC),421,Receipt Location,RPQ,Y,306000,306000,97644,401,88238,401,88639,217361,R,Y,-,-
27,CLAY BASIN FRONTIER,65,Receipt Location,RPQ,Y,25000,23000,2585,0,2585,0,2585,20415,R,N,-,-
28,CLAY BASIN NWP INJ,852,Injection Point,SIQ,Y,250000,330000,1020442,30000,188539,25000,213539,116461,SI,Y,Clay Basin*****,-
29,CLAY BASIN NWP WD,152,Withdrawal Point,SWQ,Y,320000,320000,332691,0,310,0,310,319690,SW,N,Clay Basin*****,-
30,CLAY BASIN QPC INJ,866,Injection Point,SIQ,Y,217960,217960,103078,0,97089,0,97089,120871,SI,N,Clay Basin*****,-
31,CLAY BASIN QPC WD,66,Withdrawal Point,SWQ,Y,700000,700000,66118,0,56012,0,56012,643988,SW,N,Clay Basin*****,-
32,CLAY BASIN RESERVOIR,184,Storage Area,STQ,N,-,450000,0,0,0,0,0,450000,-,N,-,OPC lost to data error.
33,CLOUGH RULISON RIFLE,107,Receipt Location,RPQ,Y,47700,44000,0,0,0,0,0,44000,R,N,-,-
34,CO2 PLT OUTLET,302,Receipt Location,RPQ,Y,139000,136250,29962,0,29962,0,29962,106288,R,N,-,-
35,COALVILLE RESERVOIR,187,Storage Area,STQ,N,-,-,0,0,0,0,0,-,-,N,-,DC and OPC lost to data error.
36,COALVILLE STORAGE WD,98,Withdrawal Point,SWQ,Y,67545,54000,0,0,0,0,0,54000,SW,N,-,-
37,COYOTE FLATS,381,Receipt Location,RPQ,Y,4900,4000,0,0,0,0,0,4000,R,N,Deactivated**,-
38,CRAIG DEL,804,Delivery Location,DPQ,Y,8300,8300,900,0,900,0,900,7400,D,N,-,-
39,CURRANT CREEK PWR,362,Delivery Location,DPQ,Y,190000,190000,56007,0,56007,0,56007,133993,D,N,-,-
40,DRAGON TRAIL MM DEL,813,Delivery Location,DPQ,Y,44000,44000,0,0,0,0,0,44000,D,N,-,-
41,DRIPPING ROCK,386,Receipt Location,RPQ,Y,52000,49000,7737,0,7737,0,7737,41263,R,N,-,-
42,EAKIN TO OTPL,384,Delivery Location,DPQ,N,-,75000,0,0,0,0,0,75000,D,N,-,OPC lost to data error.
43,EAST ANSCHUTZ MM,92,Receipt Location,RPQ,Y,71000,61000,0,0,0,0,0,61000,R,N,-,-
44,EAST ANSCHUTZ MM DEL,892,Delivery Location,DPQ,N,-,27000,0,0,0,0,0,27000,D,N,-,OPC lost to data error.
45,EAST LITTLE SNAKE,375,Receipt Location,RPQ,Y,9000,9000,100,0,100,0,100,8900,R,N,-,-
46,ET OUTLET,72,Receipt Location,RPQ,Y,135000,127000,0,0,0,0,0,127000,R,N,-,-
47,EUREKA DELIVERY,452,Delivery Location,DPQ,N,-,2700,0,0,0,0,0,2700,D,N,-,OPC lost to data error.
48,EXXON (COLUMBIA-QPC),84,Receipt Location,RPQ,Y,76000,74000,0,0,0,0,0,74000,R,N,-,-
49,FERRON MM,148,Receipt Location,RPQ,Y,6000,5000,0,0,0,0,0,5000,R,N,Deactivated**,-
50,FIREPLACE ROCK MM103,34,Receipt Location,RPQ,Y,15900,14010,1,0,1,0,1,14009,R,N,-,-
51,FLATTOP BUTTE,444,Delivery Location,DPQ,Y,9600,6280,1000,2000,990,0,990,5290,D,N,-,-
52,FMC,175,Delivery Location,DPQ,Y,29100,29100,3959,11874,3959,11874,15833,13267,D,Y,-,-
