TSP,TSP Name,Post Date/Time,Effective Gas Day/Time,Meas Basis Desc,Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail,Qty Reason
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78542,EAST OF HWY 789,ANR,MQ,DPQ,D,500000.0,500000,338670,161330,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79038,EAST OF HWY 789,ARCADIA GAS STORAGE,MQ,DPQ,D,250000.0,265000,69958,195042,N,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79038,EAST OF HWY 789,ARCADIA GAS STORAGE,M2,RPQ,R,250000.0,265000,3189,261811,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79008,EAST OF HWY 789,BISTINEAU,M2,RPQ,R,250000.0,250000,203567,46433,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79037,EAST OF HWY 789,Black Bear Caddo,M2,RPQ,R,100000.0,100000,15200,84800,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79039,EAST OF HWY 789,CADEVILLE GAS STORAGE,M2,RPQ,R,250000.0,265000,28640,236360,Y,Y,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78532,EAST OF HWY 789,CLEAR LAKE,M2,RPQ,R,500000.0,500000,104000,396000,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78555,EAST OF HWY 789,COLUMBIA GULF,MQ,DPQ,D,1300000.0,1300000,215020,1084980,N,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78554,EAST OF HWY 789,EXCO / HOLLY,M2,RPQ,R,500000.0,500000,224984,275016,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79060,EAST OF HWY 789,HODGE PAPER MILL,MQ,DPQ,D,30000.0,30000,19700,10300,N,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79025,EAST OF HWY 789,KINDERHAWK NORTH HOLLY I/C,M2,RPQ,R,350000.0,350000,30000,320000,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79024,EAST OF HWY 789,KINDERHAWK PLANTATION I/C,M2,RPQ,R,350000.0,350000,166271,183729,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78535,EAST OF HWY 789,MAGNOLIA,M2,RPQ,R,500000.0,500000,241135,258865,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78528,EAST OF HWY 789,MANSFIELD,M2,RPQ,R,1000000.0,1000000,404001,595999,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,100736,WEST OF HWY 789,MOMENTUM DEADWOOD,M2,RPQ,R,450000.0,450000,181922,268078,N,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79007,EAST OF HWY 789,SESH - SPECTRA,MQ,DPQ,D,,867000,452918,414082,Y,N,N,N,Design Capacity at measurement location
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,79006,EAST OF HWY 789,SESH-SNG,MQ,DPQ,D,,433000,293681,139319,Y,Y,N,N,Design Capacity at measurement location
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78530,EAST OF HWY 789,SPRINGRIDGE,M2,RPQ,R,750000.0,750000,702111,47889,Y,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78538,EAST OF HWY 789,TENNESSEE GAS PIPELINE,MQ,DPQ,D,265000.0,265000,106300,158700,N,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78540,EAST OF HWY 789,TEXAS GAS TRANSMISSION,MQ,DPQ,D,500000.0,500000,477073,22927,Y,Y,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,100728,EAST OF HWY 789,TGP Delhi,MQ,DPQ,D,650000.0,650000,248455,401545,N,N,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78541,EAST OF HWY 789,TRUNKLINE GAS PIPELINE,MQ,DPQ,D,500000.0,500000,204144,295856,Y,Y,N,Y,
829416002,Fayetteville Express Pipeline LLC,08/28/2022 8:30PM,08/29/2022 9:00AM,MMBtu,78534,EAST OF HWY 789,WOODARDVILLE,M2,RPQ,R,140000.0,140000,135058,4942,Y,N,N,Y,
