TSP Name,Post Date/Time,Effective Gas Day/Time,Meas Basis Desc,Location,Location Name,LocationPurpose,FlowIndicator,All QtyAvail,DesignCapacity(MMBtud),OperatingCapacity(MMBtud)*,TotalScheduledQuantity,OperationallyAvailableCapacity,ITDesc,Comments
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,BRIDGELINE,Discovery to Bridgeline Gas,MQ,DELIVERY,N,600000,350000,240255,109745,Y,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,COLUMBIA,Discovery to Columbia Gulf(ME),MQ,DELIVERY,Y,150000,150000,12300,137700,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,GULF SOUTH,Discovery to Gulf South,MQ,DELIVERY,Y,250000,250000,4175,245825,Y,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,KINETICA,DISCOVERY TO KINETICA (ME),MQ,DELIVERY,Y,250000,250000,0,250000,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,TRANSCO,Discovery to Transco (ME),MQ,DELIVERY,Y,150000,150000,100000,50000,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,TXEASTERN,Discovery to Texas Eastern,MQ,DELIVERY,Y,400000,400000,108850,291150,Y,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,40-E LINE,40-E line to Discovery,M2,RECEIPT,Y,50000,50000,1700,48300,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,COLUMBIA REC,Columbia Gulf to Discovery,M2,RECEIPT,Y,150000,150000,26000,124000,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,GC LATERAL,GC Delivery to Discovery,M2,RECEIPT,Y,250000,250000,114457,135543,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,GI115 LATERL,GI 115 Interconnect,M2,RECEIPT,Y,150000,150000,35565,114435,Y,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,KCC LATERAL,KCC to Junction Platform,M2,RECEIPT,Y,400000,400000,41986,358014,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,KINETCA REC,KINETICA TO DISCOVERY,M2,RECEIPT,Y,250000,250000,4553,245447,Y,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,OTHER OFF,Other Offshore Interconnect,M2,RECEIPT,Y,395000,395000,59526,335474,Y,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,OTHER ON,Other Onshore Interconnect,M2,RECEIPT,Y,215000,215000,13218,201782,Y,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,RACELAND,Transco to Discovery,M2,RECEIPT,Y,35000,35000,7202,27798,Y,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,ST200 LATERL,ST200 Interconnect,M2,RECEIPT,Y,200000,200000,74587,125413,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,ST37 LATERAL,ST37 Interconnect,M2,RECEIPT,Y,75000,75000,1700,73300,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,TETCO REC,Texas Eastern to Discovery,M2,RECEIPT,Y,250000,250000,61809,188191,N,
Discovery Gas Transmission LLC,08-10-2022 20:34:03,08-11-2022 9:00:00 AM,MMBTU,VALENTINE,Valentine Interconnect,M2,RECEIPT,Y,40000,40000,0,40000,N,
